ts_decision,ts_fill,ts_exit,i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,ts_decision_utc,ts_fill_utc,ts_exit_utc,m5_close
2019-02-14 08:55:00,2019-02-14 09:00:00,2019-02-14 10:07:00,8735.0,43521.0,43588.0,8749.0,1.0,1.0,1310.0,1308.8339806504248,1320.0,3.6264469980489915,0.1,1311.2955,1308.8339806504248,1.0,1.0,1.0,-1.0,0.0,0.0,24.615193495751555,10144.313938740934,10119.698745245183,1.1660193495752424,0.29,14.0,BREAK_LONG,STOP,2019-02-14 13:55:00,2019-02-14 14:00:00,2019-02-14 15:07:00,1311.1025
2019-02-19 19:50:00,2019-02-19 19:55:00,2019-02-19 19:56:00,9682.0,48236.0,48237.0,9683.0,-1.0,4.0,1340.0,1340.2469169025344,1330.0,14.987902428558781,0.42,1339.6515,1340.2469169025344,1.0,-1.0,1.0,-1.0,0.0,1.0,25.007509906447012,10119.698745245183,10094.691235338736,0.2718338050684145,0.29,1.0,REV_SHORT,STOP,2019-02-20 00:50:00,2019-02-20 00:55:00,2019-02-20 00:56:00,1339.751
2019-02-20 18:55:00,2019-02-20 19:00:00,2019-02-20 20:13:00,9947.0,49556.0,49629.0,9962.0,1.0,1.0,1340.0,1339.6112453442208,1350.0,8.821516359223848,0.45,1340.713,1339.6112453442208,1.0,1.0,1.0,1.0,0.0,0.0,49.57895951006094,10094.691235338736,10045.112275828675,0.3887546557791319,0.29,15.0,BREAK_LONG,STOP,2019-02-20 23:55:00,2019-02-21 00:00:00,2019-02-21 01:13:00,1340.524
2019-02-25 09:05:00,2019-02-25 09:10:00,2019-02-25 10:51:00,10669.0,53156.0,53257.0,10690.0,1.0,1.0,1330.0,1329.1523191645226,1340.0,5.210453916449618,0.29,1330.858,1329.1523191645226,1.0,1.0,1.0,1.0,0.0,0.0,49.46474422884239,10045.112275828675,9995.647531599832,0.8476808354774714,0.29,21.0,BREAK_LONG,STOP,2019-02-25 14:05:00,2019-02-25 14:10:00,2019-02-25 15:51:00,1330.754
2019-03-04 03:35:00,2019-03-04 03:40:00,2019-03-04 03:42:00,11983.0,59701.0,59703.0,11984.0,1.0,3.0,1290.0,1289.2709878434925,1300.0,7.610680161082906,0.19,1290.561,1289.2709878434925,1.0,-1.0,-1.0,-1.0,1.0,0.0,24.51023097364009,9995.647531599832,9971.137300626193,0.6510243130151323,0.29,1.0,REV_LONG,STOP,2019-03-04 08:35:00,2019-03-04 08:40:00,2019-03-04 08:42:00,1290.372
2019-03-13 19:25:00,2019-03-13 19:30:00,2019-03-13 19:46:00,14093.0,70211.0,70227.0,14097.0,1.0,1.0,1310.0,1309.7461527795338,1320.0,15.025461848524941,0.8300000000000001,1310.3419999999999,1309.714,1.0,1.0,1.0,1.0,0.0,0.0,49.45531929868731,9971.137300626193,9919.013300626199,0.25384722046616665,0.29,4.0,BREAK_LONG,STOP,2019-03-13 23:25:00,2019-03-13 23:30:00,2019-03-13 23:46:00,1310.241
2019-03-15 02:25:00,2019-03-15 02:30:00,2019-03-15 06:29:00,14453.0,72006.0,72245.0,14501.0,1.0,1.0,1300.0,1299.544613608609,1310.0,3.689804527275456,0.22,1301.731,1302.7605,3.0,1.0,1.0,1.0,0.0,0.0,48.10050061059974,9919.013300626199,9941.662300626202,0.45538639139096826,0.29,48.0,BREAK_LONG,TIME,2019-03-15 06:25:00,2019-03-15 06:30:00,2019-03-15 10:29:00,1301.629
2019-03-17 20:30:00,2019-03-17 20:35:00,2019-03-17 20:42:00,14658.0,73026.0,73033.0,14660.0,1.0,3.0,1300.0,1299.7236186817092,1310.0,13.395083685471914,0.74,1300.391,1299.7185,1.0,-1.0,-1.0,1.0,0.0,0.0,49.386217553521874,9941.662300626202,9891.897300626191,0.3447626365812727,0.29,2.0,REV_LONG,STOP,2019-03-18 00:30:00,2019-03-18 00:35:00,2019-03-18 00:42:00,1300.2925
2019-03-19 09:20:00,2019-03-19 09:25:00,2019-03-19 13:24:00,15088.0,75171.0,75410.0,15136.0,-1.0,4.0,1310.0,1311.2941043446722,1300.0,5.4003607260588895,0.13,1309.488,1306.5235,3.0,-1.0,-1.0,-1.0,1.0,1.0,23.47935648073758,9891.897300626191,9930.435800626192,0.693208689344585,0.29,48.0,REV_SHORT,TIME,2019-03-19 13:20:00,2019-03-19 13:25:00,2019-03-19 17:24:00,1309.6745
2019-03-22 02:30:00,2019-03-22 02:35:00,2019-03-22 04:46:00,15834.0,78886.0,79017.0,15861.0,1.0,1.0,1310.0,1309.632102408227,1320.0,5.48237664299609,0.15,1311.2735,1309.632102408227,1.0,1.0,1.0,-1.0,0.0,0.0,24.62096387659585,9930.435800626192,9905.814836749596,0.36789759177305303,0.29,27.0,BREAK_LONG,STOP,2019-03-22 06:30:00,2019-03-22 06:35:00,2019-03-22 08:46:00,1311.0865
2019-03-25 10:20:00,2019-03-25 10:25:00,2019-03-25 10:52:00,16204.0,80731.0,80758.0,16210.0,1.0,1.0,1320.0,1319.321467783309,1330.0,3.083518416535171,0.18,1321.977,1319.321467783309,1.0,1.0,1.0,1.0,0.0,0.0,47.799579900441586,9905.814836749596,9858.015256849154,0.678532216691013,0.29,6.0,BREAK_LONG,STOP,2019-03-25 14:20:00,2019-03-25 14:25:00,2019-03-25 14:52:00,1321.7915
2019-03-27 13:45:00,2019-03-27 13:50:00,2019-03-27 14:05:00,16797.0,83686.0,83701.0,16801.0,1.0,3.0,1310.0,1309.2643126354933,1320.0,11.135007003851602,0.29,1310.108,1309.2643126354933,1.0,-1.0,-1.0,-1.0,1.0,0.0,24.46693357069284,9858.015256849154,9833.54832327846,0.6983747290130415,0.29,4.0,REV_LONG,STOP,2019-03-27 17:45:00,2019-03-27 17:50:00,2019-03-27 18:05:00,1310.004
2019-03-27 21:50:00,2019-03-27 21:55:00,2019-03-27 22:57:00,16882.0,84106.0,84168.0,16895.0,-1.0,2.0,1310.0,1310.4757644173617,1300.0,3.59914306216795,0.21,1308.1580000000001,1310.495,1.0,1.0,1.0,1.0,0.0,0.0,48.67305276459274,9833.54832327846,9784.471323278465,0.47576441736174546,0.29,13.0,BREAK_SHORT,STOP,2019-03-28 01:50:00,2019-03-28 01:55:00,2019-03-28 02:57:00,1308.343
2019-03-28 04:10:00,2019-03-28 04:15:00,2019-03-28 08:14:00,16958.0,84486.0,84725.0,17006.0,-1.0,2.0,1310.0,1310.5131108402143,1300.0,10.339648275263928,0.55,1309.627,1303.924,3.0,1.0,1.0,1.0,0.0,0.0,48.736096211787306,9784.471323278465,10098.136323278464,0.5131108402142032,0.29,48.0,BREAK_SHORT,TIME,2019-03-28 08:10:00,2019-03-28 08:15:00,2019-03-28 12:14:00,1309.731
2019-03-28 23:40:00,2019-03-28 23:45:00,2019-03-29 01:36:00,17180.0,85591.0,85702.0,17203.0,-1.0,2.0,1290.0,1290.4417077016437,1280.0,6.993910683962783,0.38,1289.129,1290.4417077016437,1.0,1.0,1.0,1.0,0.0,0.0,49.882892662465565,10098.136323278464,10048.253430615998,0.4417077016438267,0.29,23.0,BREAK_SHORT,STOP,2019-03-29 03:40:00,2019-03-29 03:45:00,2019-03-29 05:36:00,1289.2805
2019-04-03 09:20:00,2019-04-03 09:25:00,2019-04-03 10:01:00,18124.0,90296.0,90332.0,18132.0,-1.0,2.0,1290.0,1290.9321218108046,1280.0,4.102217178821597,0.11,1288.8310000000001,1290.9321218108046,1.0,1.0,1.0,-1.0,0.0,1.0,23.112339918848875,10048.253430615998,10025.141090697149,0.9321218108045656,0.29,8.0,BREAK_SHORT,STOP,2019-04-03 13:20:00,2019-04-03 13:25:00,2019-04-03 14:01:00,1288.9345
2019-04-04 23:20:00,2019-04-04 23:25:00,2019-04-05 01:21:00,18556.0,92446.0,92562.0,18580.0,-1.0,2.0,1290.0,1290.255908805252,1280.0,10.034873725425033,0.56,1289.367,1290.264,1.0,1.0,1.0,1.0,0.0,0.0,49.77889309410967,10025.141090697149,9974.909090697152,0.2559088052520038,0.29,24.0,BREAK_SHORT,STOP,2019-04-05 03:20:00,2019-04-05 03:25:00,2019-04-05 05:21:00,1289.4715
2019-04-11 08:20:00,2019-04-11 08:25:00,2019-04-11 12:24:00,19768.0,98486.0,98725.0,19816.0,-1.0,2.0,1300.0,1300.743612233964,1290.0,4.433992086743052,0.24,1298.723,1293.4895,3.0,1.0,1.0,1.0,0.0,0.0,48.49469361513911,9974.909090697152,10100.513090697154,0.743612233964017,0.29,48.0,BREAK_SHORT,TIME,2019-04-11 12:20:00,2019-04-11 12:25:00,2019-04-11 16:24:00,1298.9115
2019-04-14 20:00:00,2019-04-14 20:05:00,2019-04-14 20:18:00,20172.0,100496.0,100509.0,20175.0,1.0,3.0,1290.0,1289.265096915071,1300.0,10.415214663760793,0.56,1290.1645,1289.265096915071,1.0,-1.0,-1.0,1.0,0.0,1.0,50.366572756034664,10100.513090697154,10050.146517941119,0.3588061698583801,0.29,3.0,REV_LONG,STOP,2019-04-15 00:00:00,2019-04-15 00:05:00,2019-04-15 00:18:00,1290.0605
2019-04-26 00:10:00,2019-04-26 00:15:00,2019-04-26 00:20:00,22706.0,113121.0,113126.0,22708.0,1.0,3.0,1280.0,1279.719498372395,1290.0,17.9501765607452,0.68,1280.0875,1279.719498372395,1.0,1.0,1.0,-1.0,0.0,1.0,25.024110677143657,10050.146517941119,10025.122407263974,0.277003255209921,0.29,2.0,REV_LONG,STOP,2019-04-26 04:10:00,2019-04-26 04:15:00,2019-04-26 04:20:00,1280.117
2019-04-29 16:20:00,2019-04-29 16:25:00,2019-04-29 16:58:00,23176.0,115466.0,115499.0,23183.0,-1.0,2.0,1280.0,1280.2272496469127,1270.0,16.625602533886592,0.43,1279.647,1280.074,4.0,1.0,1.0,-1.0,0.0,0.0,24.950734817248758,10025.122407263974,10006.761407263968,0.22724964691272198,0.29,7.0,BREAK_SHORT,SESSION,2019-04-29 20:20:00,2019-04-29 20:25:00,2019-04-29 20:58:00,1279.792
2019-05-01 00:20:00,2019-05-01 00:25:00,2019-05-01 00:41:00,23536.0,117256.0,117272.0,23540.0,1.0,3.0,1280.0,1279.5960260744328,1290.0,13.77891942827912,0.8,1280.2185,1279.5960260744328,1.0,-1.0,-1.0,1.0,1.0,1.0,49.79791404537537,10006.761407263968,9956.963493218593,0.28494785113435156,0.29,4.0,REV_LONG,STOP,2019-05-01 04:20:00,2019-05-01 04:25:00,2019-05-01 04:41:00,1280.155
2019-05-02 10:05:00,2019-05-02 10:10:00,2019-05-02 11:33:00,23929.0,119216.0,119299.0,23946.0,-1.0,4.0,1270.0,1270.9202300751247,1260.0,3.6603319883317886,0.2,1268.5365,1270.9202300751247,1.0,1.0,1.0,1.0,1.0,0.0,47.67460150249463,9956.963493218593,9909.288891716098,1.0704601502495394,0.29,17.0,REV_SHORT,STOP,2019-05-02 14:05:00,2019-05-02 14:10:00,2019-05-02 15:33:00,1268.722
2019-05-16 11:00:00,2019-05-16 11:05:00,2019-05-16 15:04:00,26700.0,133021.0,133260.0,26748.0,-1.0,2.0,1290.0,1290.9015322337882,1280.0,2.0987584846683314,0.13,1287.3425,1286.619,3.0,1.0,1.0,1.0,0.0,0.0,46.26741903924699,9909.288891716098,9918.694391716099,0.9015322337881148,0.29,48.0,BREAK_SHORT,TIME,2019-05-16 15:00:00,2019-05-16 15:05:00,2019-05-16 19:04:00,1287.5285
2019-06-05 23:05:00,2019-06-05 23:10:00,2019-06-06 03:09:00,30697.0,152931.0,153170.0,30745.0,1.0,1.0,1330.0,1329.5117780634116,1340.0,5.62042463518373,0.15,1331.137,1333.0330000000001,3.0,1.0,1.0,-1.0,0.0,0.0,24.37832904882498,9918.694391716099,9947.134391716101,0.4882219365883053,0.29,48.0,BREAK_LONG,TIME,2019-06-06 03:05:00,2019-06-06 03:10:00,2019-06-06 07:09:00,1330.951
2019-06-14 02:40:00,2019-06-14 02:45:00,2019-06-14 06:44:00,32396.0,161396.0,161635.0,32444.0,1.0,1.0,1350.0,1349.0953821866176,1360.0,1.3889443233149448,0.05,1353.7024999999999,1354.268,3.0,1.0,1.0,-1.0,0.0,0.0,23.03558906691137,9947.134391716101,9949.961891716102,0.9046178133823459,0.29,48.0,BREAK_LONG,TIME,2019-06-14 06:40:00,2019-06-14 06:45:00,2019-06-14 10:44:00,1353.515
2019-06-19 23:25:00,2019-06-19 23:30:00,2019-06-20 00:28:00,33461.0,166701.0,166759.0,33473.0,1.0,1.0,1380.0,1378.5018935563844,1390.0,3.025797592144386,0.17,1381.399,1378.4950000000001,1.0,1.0,1.0,1.0,0.0,0.0,49.25080954146324,9949.961891716102,9900.593891716106,1.498106443615528,0.29,12.0,BREAK_LONG,STOP,2019-06-20 03:25:00,2019-06-20 03:30:00,2019-06-20 04:28:00,1381.213
2019-06-20 01:40:00,2019-06-20 01:45:00,2019-06-20 04:38:00,33488.0,166836.0,167009.0,33523.0,1.0,1.0,1380.0,1379.1916038663287,1390.0,4.965240464292425,0.27,1380.9605,1379.1916038663287,1.0,1.0,1.0,1.0,0.0,0.0,47.760195609122555,9900.593891716106,9852.833696106984,0.8083961336713519,0.29,35.0,BREAK_LONG,STOP,2019-06-20 05:40:00,2019-06-20 05:45:00,2019-06-20 08:38:00,1380.8585
2019-06-20 12:20:00,2019-06-20 12:25:00,2019-06-20 13:25:00,33616.0,167476.0,167536.0,33629.0,-1.0,4.0,1390.0,1391.5613206130631,1380.0,3.6631002671251585,0.09,1389.041,1391.5613206130631,1.0,-1.0,-1.0,-1.0,1.0,0.0,22.682885517568593,9852.833696106984,9830.150810589415,1.4066412261264976,0.29,13.0,REV_SHORT,STOP,2019-06-20 16:20:00,2019-06-20 16:25:00,2019-06-20 17:25:00,1389.227
2019-06-21 10:25:00,2019-06-21 10:30:00,2019-06-21 14:29:00,33869.0,168736.0,168975.0,33917.0,1.0,3.0,1390.0,1388.227137627026,1400.0,2.402696727169118,0.14,1391.646,1397.3175,3.0,1.0,-1.0,1.0,0.0,0.0,47.86407322163587,9830.150810589415,9909.551810589417,2.1137247459482187,0.29,48.0,REV_LONG,TIME,2019-06-21 14:25:00,2019-06-21 14:30:00,2019-06-21 18:29:00,1391.542
2019-06-25 04:50:00,2019-06-25 04:55:00,2019-06-25 07:05:00,34354.0,171151.0,171281.0,34381.0,1.0,3.0,1430.0,1427.1296103676427,1440.0,2.921639992236146,0.15,1430.3715,1427.1296103676427,1.0,1.0,1.0,1.0,0.0,1.0,48.62834448535864,9909.551810589417,9860.92346610406,1.7667792647145557,0.29,27.0,REV_LONG,STOP,2019-06-25 08:50:00,2019-06-25 08:55:00,2019-06-25 11:05:00,1430.2665
2019-06-25 18:15:00,2019-06-25 18:20:00,2019-06-25 18:23:00,34503.0,171891.0,171894.0,34504.0,1.0,3.0,1420.0,1418.3395708939981,1430.0,4.51078439864864,0.11,1420.496,1418.3395708939981,1.0,1.0,0.0,-1.0,0.0,1.0,23.720720166021465,9860.92346610406,9837.202745938037,1.263858212003919,0.29,1.0,REV_LONG,STOP,2019-06-25 22:15:00,2019-06-25 22:20:00,2019-06-25 22:23:00,1420.3105
2019-06-25 23:05:00,2019-06-25 23:10:00,2019-06-26 03:09:00,34561.0,172181.0,172420.0,34609.0,-1.0,2.0,1410.0,1411.5582793637504,1400.0,2.038630335371029,0.13,1407.7965,1407.932,3.0,1.0,1.0,1.0,0.0,0.0,48.90313172875677,9837.202745938037,9835.441245938036,1.5582793637504557,0.29,48.0,BREAK_SHORT,TIME,2019-06-26 03:05:00,2019-06-26 03:10:00,2019-06-26 07:09:00,1407.8995
2019-06-26 08:35:00,2019-06-26 08:40:00,2019-06-26 08:46:00,34675.0,172751.0,172757.0,34677.0,-1.0,4.0,1410.0,1411.9124616054478,1400.0,4.222561211462778,0.21,1409.673,1411.9124616054478,1.0,1.0,1.0,1.0,0.0,0.0,47.028693714403516,9835.441245938036,9788.412552223634,1.7449232108955035,0.29,2.0,REV_SHORT,STOP,2019-06-26 12:35:00,2019-06-26 12:40:00,2019-06-26 12:46:00,1409.7765
2019-06-26 15:45:00,2019-06-26 15:50:00,2019-06-26 16:53:00,34761.0,173181.0,173244.0,34774.0,1.0,3.0,1410.0,1408.6167674578937,1420.0,5.522473233491015,0.13,1410.4035,1408.6167674578937,1.0,-1.0,-1.0,-1.0,0.0,1.0,23.227523047380146,9788.412552223634,9765.185029176253,0.8814650842122146,0.29,13.0,REV_LONG,STOP,2019-06-26 19:45:00,2019-06-26 19:50:00,2019-06-26 20:53:00,1410.217
2019-07-02 20:05:00,2019-07-02 20:10:00,2019-07-02 20:50:00,35905.0,178876.0,178916.0,35914.0,-1.0,4.0,1430.0,1433.5929379408292,1420.0,2.0879440200078654,0.1,1429.1475,1433.5929379408292,1.0,-1.0,-1.0,1.0,0.0,1.0,44.454379408291516,9765.185029176253,9720.730649767962,2.404875881658424,0.29,9.0,REV_SHORT,STOP,2019-07-03 00:05:00,2019-07-03 00:10:00,2019-07-03 00:50:00,1429.336
