i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,m5_close,ts_decision_utc,ts_fill_utc,ts_exit_utc
179272.0,893114.0,893228.0,179295.0,-1.0,4.0,1770.0,1770.4746895149615,1760.0,9.277469853442765,0.35000000000000003,1769.4555,1770.4746895149615,1.0,-1.0,-1.0,1.0,0.0,0.0,35.67163302365089,7184.66392404122,7148.992291017568,0.41937902992290066,0.29,23.0,REV_SHORT,STOP,1769.6005,2021-06-30 23:20:00,2021-06-30 23:25:00,2021-07-01 01:19:00
179711.0,895304.0,895309.0,179713.0,-1.0,4.0,1790.0,1794.7749599032527,1780.0,1.7775300823713835,0.06,1789.4555,1794.7749599032527,1.0,-1.0,-1.0,1.0,1.0,0.0,31.916759419515984,7148.992291017568,7117.075531598052,3.28291980650547,0.29,2.0,REV_SHORT,STOP,1789.6005,2021-07-02 12:55:00,2021-07-02 13:00:00,2021-07-02 13:05:00
179974.0,896614.0,896853.0,180022.0,1.0,3.0,1790.0,1788.8659609753784,1800.0,6.073547002621142,0.22,1790.44,1790.09,3.0,1.0,1.0,1.0,0.0,1.0,34.628858541677346,7117.075531598052,7109.375531598049,0.8280780492430168,0.29,48.0,REV_LONG,TIME,1790.295,2021-07-05 11:50:00,2021-07-05 11:55:00,2021-07-05 15:54:00
180170.0,897589.0,897828.0,180218.0,1.0,1.0,1800.0,1799.0825301470868,1810.0,2.4353597920083883,0.11,1802.2605,1806.9905,3.0,1.0,1.0,1.0,0.0,0.0,34.95766838204622,7109.375531598049,7161.4055315980495,0.9174698529131579,0.29,48.0,BREAK_LONG,TIME,1802.1155,2021-07-06 05:10:00,2021-07-06 05:15:00,2021-07-06 09:14:00
180419.0,898829.0,898835.0,180421.0,1.0,3.0,1800.0,1798.9687306844608,1810.0,7.816063159660239,0.14,1800.22,1798.9687306844608,1.0,1.0,1.0,-1.0,0.0,1.0,17.51777041754986,7161.4055315980495,7143.887761180499,0.9715386310783994,0.29,2.0,REV_LONG,STOP,1800.075,2021-07-07 02:55:00,2021-07-07 03:00:00,2021-07-07 03:06:00
180764.0,900549.0,900645.0,180784.0,1.0,1.0,1810.0,1807.7794314105124,1820.0,2.047091283146218,0.08,1811.79,1807.7794314105124,1.0,1.0,1.0,1.0,0.0,0.0,32.08454871590038,7143.887761180499,7111.803212464599,2.220568589487672,0.29,20.0,BREAK_LONG,STOP,1811.645,2021-07-08 08:40:00,2021-07-08 08:45:00,2021-07-08 10:21:00
181795.0,905684.0,905923.0,181843.0,1.0,1.0,1810.0,1809.177606235734,1820.0,3.64003717128422,0.07,1811.51,1813.865,3.0,1.0,1.0,-1.0,0.0,0.0,16.326756349862308,7111.803212464599,7128.288212464599,0.8223937642660766,0.29,48.0,BREAK_LONG,TIME,1811.365,2021-07-14 02:35:00,2021-07-14 02:40:00,2021-07-14 06:39:00
183022.0,911799.0,911896.0,183042.0,1.0,1.0,1820.0,1818.3382060952524,1830.0,1.045285062835656,0.03,1824.04,1818.3382060952524,1.0,1.0,1.0,-1.0,0.0,0.0,17.10538171424264,7128.288212464599,7111.1828307503565,1.661793904747668,0.29,20.0,BREAK_LONG,STOP,1823.895,2021-07-20 12:50:00,2021-07-20 12:55:00,2021-07-20 14:32:00
183064.0,912009.0,912248.0,183112.0,-1.0,4.0,1810.0,1812.2056820136133,1800.0,2.497147703473768,0.1,1808.7155,1810.7,3.0,1.0,1.0,1.0,1.0,0.0,34.90182013613321,7111.1828307503565,7091.337830750356,2.0643640272265684,0.29,48.0,REV_SHORT,TIME,1808.8605,2021-07-20 16:20:00,2021-07-20 16:25:00,2021-07-20 20:24:00
183820.0,915774.0,915841.0,183834.0,-1.0,2.0,1800.0,1801.3267445236108,1790.0,2.1231161858442262,0.09,1797.7,1790.0,2.0,1.0,1.0,1.0,0.0,0.0,32.640700712497164,7091.337830750356,7160.637830750356,1.326744523610786,0.29,14.0,BREAK_SHORT,TARGET,1797.845,2021-07-23 10:20:00,2021-07-23 10:25:00,2021-07-23 11:32:00
184064.0,916989.0,916995.0,184066.0,1.0,1.0,1810.0,1808.8454486942696,1820.0,3.5808280423004324,0.07,1811.2805,1808.8454486942696,1.0,1.0,1.0,-1.0,0.0,0.0,17.045359140113078,7160.637830750356,7143.592471610244,1.154551305730462,0.29,2.0,BREAK_LONG,STOP,1811.1355,2021-07-26 07:40:00,2021-07-26 07:45:00,2021-07-26 07:51:00
184479.0,919059.0,919148.0,184497.0,1.0,3.0,1800.0,1798.9792996264441,1810.0,8.216941482406474,0.29,1800.175,1798.9792996264441,1.0,-1.0,1.0,1.0,0.0,1.0,34.67531083311928,7143.592471610244,7108.917160777124,0.6014007471118091,0.29,18.0,REV_LONG,STOP,1800.03,2021-07-27 19:15:00,2021-07-27 19:20:00,2021-07-27 20:49:00
184738.0,920349.0,920365.0,184742.0,-1.0,2.0,1800.0,1800.7439099896937,1790.0,7.208287868753265,0.13,1799.435,1800.7439099896937,1.0,1.0,1.0,-1.0,0.0,0.0,17.01582986601943,7108.917160777124,7091.901330911105,0.7439099896938336,0.29,4.0,BREAK_SHORT,STOP,1799.58,2021-07-28 17:50:00,2021-07-28 17:55:00,2021-07-28 18:11:00
185373.0,923509.0,923748.0,185421.0,1.0,3.0,1810.0,1807.9408703642366,1820.0,3.459523491875439,0.13,1810.645,1812.09,3.0,-1.0,-1.0,1.0,0.0,0.0,35.15368526492375,7091.901330911105,7110.686330911104,1.3262592715266928,0.29,48.0,REV_LONG,TIME,1810.5,2021-08-02 01:45:00,2021-08-02 01:50:00,2021-08-02 05:49:00
