i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,m5_close,ts_decision_utc,ts_fill_utc,ts_exit_utc
38734.0,192968.0,192988.0,38739.0,1.0,1.0,2430.0,2428.7600808005664,2440.0,4.620186656849887,0.11,2430.7599999999998,2428.7600808005664,1.0,1.0,1.0,-1.0,0.0,0.0,21.999111193767476,9107.249043850003,9085.249932656236,1.2399191994335965,0.29,5.0,BREAK_LONG,STOP,2430.615,2024-07-16 05:45:00,2024-07-16 05:50:00,2024-07-16 06:10:00
38952.0,194053.0,194055.0,38953.0,-1.0,4.0,2470.0,2474.043459943816,2460.0,1.6062103254443876,0.04,2468.655,2474.043459943816,1.0,-1.0,-1.0,-1.0,0.0,1.0,21.55383977526253,9085.249932656236,9063.696092880973,1.3569198876320818,0.29,1.0,REV_SHORT,STOP,2468.8,2024-07-17 00:55:00,2024-07-17 01:00:00,2024-07-17 01:02:00
39208.0,195328.0,195372.0,39217.0,1.0,1.0,2460.0,2459.2601122737965,2470.0,4.652906526042701,0.23,2461.16,2459.2601122737965,1.0,1.0,1.0,1.0,0.0,0.0,43.697417702677285,9063.696092880973,9019.998675178296,0.73988772620337,0.29,9.0,BREAK_LONG,STOP,2461.015,2024-07-17 23:15:00,2024-07-17 23:20:00,2024-07-18 00:04:00
39298.0,195778.0,195791.0,39301.0,-1.0,4.0,2470.0,2473.0734092635957,2460.0,3.0307615231701517,0.06,2469.83,2473.0734092635957,1.0,-1.0,-1.0,-1.0,1.0,1.0,19.460455581574934,9019.998675178296,9000.538219596721,1.6868185271916063,0.29,3.0,REV_SHORT,STOP,2469.975,2024-07-18 06:45:00,2024-07-18 06:50:00,2024-07-18 07:03:00
39640.0,197483.0,197529.0,39650.0,-1.0,2.0,2410.0,2412.125998572009,2400.0,2.3441818387949946,0.12,2408.5,2400.0,2.0,1.0,1.0,1.0,0.0,0.0,43.51198286410727,9000.538219596721,9102.538219596721,2.1259985720090095,0.29,10.0,BREAK_SHORT,TARGET,2408.645,2024-07-19 12:15:00,2024-07-19 12:20:00,2024-07-19 13:06:00
39698.0,197773.0,197791.0,39702.0,1.0,3.0,2400.0,2397.515335078275,2410.0,3.694074362429855,0.08,2400.175,2397.515335078275,1.0,-1.0,-1.0,-1.0,1.0,1.0,21.27731937380304,9102.538219596721,9081.260900222918,1.8293298434499938,0.29,4.0,REV_LONG,STOP,2400.03,2024-07-19 17:05:00,2024-07-19 17:10:00,2024-07-19 17:28:00
39845.0,198503.0,198742.0,39893.0,1.0,3.0,2400.0,2398.034529966574,2410.0,1.3738798076523213,0.04,2403.075,2404.08,3.0,-1.0,-1.0,-1.0,0.0,0.0,20.161880133702653,9081.260900222918,9085.280900222919,1.9909400668524173,0.29,48.0,REV_LONG,TIME,2402.93,2024-07-22 06:20:00,2024-07-22 06:25:00,2024-07-22 10:24:00
39913.0,198843.0,198872.0,39919.0,-1.0,2.0,2400.0,2401.535712212214,2390.0,1.666777549288155,0.1,2397.21,2390.0,2.0,1.0,1.0,1.0,0.0,0.0,43.25712212214057,9085.280900222919,9157.380900222919,1.5357122122138864,0.29,6.0,BREAK_SHORT,TARGET,2397.355,2024-07-22 12:00:00,2024-07-22 12:05:00,2024-07-22 12:34:00
40058.0,199563.0,199574.0,40061.0,-1.0,4.0,2400.0,2401.2510432161716,2390.0,2.7932836429447176,0.07,2398.285,2401.2510432161716,1.0,1.0,-1.0,-1.0,0.0,0.0,20.76230251320249,9157.380900222919,9136.618597709716,0.9720864323433048,0.29,3.0,REV_SHORT,STOP,2398.43,2024-07-23 01:05:00,2024-07-23 01:10:00,2024-07-23 01:21:00
40123.0,199888.0,199892.0,40124.0,-1.0,2.0,2390.0,2391.554672215689,2380.0,3.427633534289855,0.08,2388.945,2391.554672215689,1.0,1.0,1.0,-1.0,0.0,1.0,20.877377725511906,9136.618597709716,9115.741219984204,1.5546722156891026,0.29,1.0,BREAK_SHORT,STOP,2389.09,2024-07-23 06:30:00,2024-07-23 06:35:00,2024-07-23 06:39:00
