target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,cagr_robust,sharpe_robust,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg
0.45,16.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,16.0,0.03,1.0771875688781134,9.5147,1.1641444444444444,0.45,16.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
0.45,56.0,0.03,9.7744,9.074,1.1524,1.3876,3.6592,630,4436.22,3.937,0.45,56.0,0.03,1.0771875688781134,9.605133333333335,1.1376,0.45,56.0,0.03,4.1851,5.424,0.6219,1.2268,1.1274,206,630.85,1.492,0.771589233038348,6.97975
0.5,32.0,0.01,8.8939,9.7351,0.9932,1.3347,3.2805,630,3985.68,3.937,0.5,32.0,0.01,0.9135910262863248,8.627550000000001,0.9853999999999999,0.5,32.0,0.01,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492,0.7785431375925607,6.9335
0.45,16.0,0.02,9.7203,9.122,1.1517,1.385,3.6697,630,4408.24,3.937,0.45,16.0,0.02,1.065588686691515,9.43468888888889,1.1518666666666666,0.45,16.0,0.02,3.8986,5.646,0.5782,1.2104,1.0031,206,587.26,1.492,0.6905065533120793,6.80945
0.45,16.0,0.01,9.7203,9.122,1.1517,1.385,3.6697,630,4408.24,3.937,0.45,16.0,0.01,1.065588686691515,9.42601111111111,1.1507333333333334,0.45,16.0,0.01,3.8986,5.646,0.5782,1.2104,1.0031,206,587.26,1.492,0.6905065533120793,6.80945
0.4,16.0,0.02,9.1578,8.7288,1.1395,1.3882,3.5787,630,4119.62,3.937,0.4,16.0,0.02,1.0491476491613967,8.915266666666668,1.1546444444444444,0.4,16.0,0.02,4.3372,5.0544,0.6777,1.2515,1.1612,206,654.02,1.492,0.8581038303260525,6.7475000000000005
0.4,16.0,0.01,9.1578,8.7288,1.1395,1.3882,3.5787,630,4119.62,3.937,0.4,16.0,0.01,1.0491476491613967,8.867866666666666,1.1475222222222223,0.4,16.0,0.01,4.3372,5.0544,0.6777,1.2515,1.1612,206,654.02,1.492,0.8581038303260525,6.7475000000000005
0.45,40.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,40.0,0.04,1.0188750963846263,9.559033333333332,1.1686,0.45,40.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
0.45,16.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,16.0,0.04,1.0188750963846263,9.463266666666666,1.1819555555555556,0.45,16.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
0.45,32.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,32.0,0.04,1.0188750963846263,9.559033333333332,1.1686,0.45,32.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
