target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg,dd_max,sharpe_min
2.0,64.0,0.055,27.7843,20.4427,1.4053,1.5179,3.6549,585,16254.56,3.937,2.0,64.0,0.055,1.3591306432124917,2.0,64.0,0.055,15.193599999999998,8.8646,0.9698,1.3815,1.992,201,2349.77,1.492,1.7139634050041739,21.48895,20.4427,0.9698
2.0,80.0,0.055,27.7843,20.4427,1.4053,1.5179,3.6549,585,16254.56,3.937,2.0,80.0,0.055,1.3591306432124917,2.0,80.0,0.055,15.193599999999998,8.8646,0.9698,1.3815,1.992,201,2349.77,1.492,1.7139634050041739,21.48895,20.4427,0.9698
1.75,64.0,0.035,26.556600000000003,19.2902,1.4408,1.5299,3.7265,585,15275.44,3.937,1.75,64.0,0.035,1.3766886812993129,1.75,64.0,0.035,16.3699,8.6893,1.0715,1.45,2.1612,201,2538.42,1.492,1.8839146996881224,21.463250000000002,19.2902,1.0715
1.75,80.0,0.035,26.556600000000003,19.2902,1.4408,1.5299,3.7265,585,15275.44,3.937,1.75,80.0,0.035,1.3766886812993129,1.75,80.0,0.035,16.3699,8.6893,1.0715,1.45,2.1612,201,2538.42,1.492,1.8839146996881224,21.463250000000002,19.2902,1.0715
2.0,64.0,0.06,27.7457,20.4439,1.4089,1.5168,3.6479,585,16223.4,3.937,2.0,64.0,0.06,1.357162772269479,2.0,64.0,0.06,15.0909,9.1886,0.9674,1.3809,1.9097,201,2333.35,1.492,1.6423503036371156,21.4183,20.4439,0.9674
2.0,48.0,0.06,27.7457,20.4439,1.4089,1.5168,3.6479,585,16223.4,3.937,2.0,48.0,0.06,1.357162772269479,2.0,48.0,0.06,15.0909,9.1886,0.9674,1.3809,1.9097,201,2333.35,1.492,1.6423503036371156,21.4183,20.4439,0.9674
2.0,80.0,0.06,27.7457,20.4439,1.4089,1.5168,3.6479,585,16223.4,3.937,2.0,80.0,0.06,1.357162772269479,2.0,80.0,0.06,15.0909,9.1886,0.9674,1.3809,1.9097,201,2333.35,1.492,1.6423503036371156,21.4183,20.4439,0.9674
1.75,48.0,0.035,26.2118,19.1483,1.4301,1.5266,3.7421,585,15005.38,3.937,1.75,48.0,0.035,1.3688839218102913,1.75,48.0,0.035,16.345499999999998,8.4129,1.0775,1.4482,2.2368,201,2534.49,1.492,1.9429091038761896,21.27865,19.1483,1.0775
1.75,48.0,0.03,26.2118,19.1483,1.4301,1.5266,3.7421,585,15005.38,3.937,1.75,48.0,0.03,1.3688839218102913,1.75,48.0,0.03,16.345499999999998,8.4129,1.0775,1.4482,2.2368,201,2534.49,1.492,1.9429091038761896,21.27865,19.1483,1.0775
1.75,48.0,0.02,26.2118,19.1483,1.4301,1.5266,3.7421,585,15005.38,3.937,1.75,48.0,0.02,1.3688839218102913,1.75,48.0,0.02,16.345499999999998,8.4129,1.0775,1.4482,2.2368,201,2534.49,1.492,1.9429091038761896,21.27865,19.1483,1.0775
1.75,48.0,0.01,26.2118,19.1483,1.4301,1.5266,3.7421,585,15005.38,3.937,1.75,48.0,0.01,1.3688839218102913,1.75,48.0,0.01,16.345499999999998,8.4129,1.0775,1.4482,2.2368,201,2534.49,1.492,1.9429091038761896,21.27865,19.1483,1.0775
1.75,48.0,0.005,26.2118,19.1483,1.4301,1.5266,3.7421,585,15005.38,3.937,1.75,48.0,0.005,1.3688839218102913,1.75,48.0,0.005,16.345499999999998,8.4129,1.0775,1.4482,2.2368,201,2534.49,1.492,1.9429091038761896,21.27865,19.1483,1.0775
1.75,48.0,0.025,26.2118,19.1483,1.4301,1.5266,3.7421,585,15005.38,3.937,1.75,48.0,0.025,1.3688839218102913,1.75,48.0,0.025,16.345499999999998,8.4129,1.0775,1.4482,2.2368,201,2534.49,1.492,1.9429091038761896,21.27865,19.1483,1.0775
1.75,48.0,0.015,26.2118,19.1483,1.4301,1.5266,3.7421,585,15005.38,3.937,1.75,48.0,0.015,1.3688839218102913,1.75,48.0,0.015,16.345499999999998,8.4129,1.0775,1.4482,2.2368,201,2534.49,1.492,1.9429091038761896,21.27865,19.1483,1.0775
1.5,64.0,0.025,25.0113,17.793,1.4704,1.5417,3.8531,585,14081.95,3.937,1.5,64.0,0.025,1.4056820097791265,1.5,64.0,0.025,17.3117,8.9869,1.1609,1.5316,2.4489,201,2690.14,1.492,1.926326096874339,21.161499999999997,17.793,1.1609
1.5,80.0,0.025,25.0113,17.793,1.4704,1.5417,3.8531,585,14081.95,3.937,1.5,80.0,0.025,1.4056820097791265,1.5,80.0,0.025,17.3117,8.9869,1.1609,1.5316,2.4489,201,2690.14,1.492,1.926326096874339,21.161499999999997,17.793,1.1609
2.0,80.0,0.065,27.9106,20.5325,1.4196,1.5192,3.6427,585,16356.92,3.937,2.0,80.0,0.065,1.3593376354559845,2.0,80.0,0.065,14.2547,9.2549,0.918,1.3589,1.8575,201,2199.88,1.492,1.5402327415747334,21.08265,20.5325,0.918
2.0,64.0,0.065,27.9106,20.5325,1.4196,1.5192,3.6427,585,16356.92,3.937,2.0,64.0,0.065,1.3593376354559845,2.0,64.0,0.065,14.2547,9.2549,0.918,1.3589,1.8575,201,2199.88,1.492,1.5402327415747334,21.08265,20.5325,0.918
2.0,32.0,0.065,27.9106,20.5325,1.4196,1.5192,3.6427,585,16356.92,3.937,2.0,32.0,0.065,1.3593376354559845,2.0,32.0,0.065,14.2547,9.2549,0.918,1.3589,1.8575,201,2199.88,1.492,1.5402327415747334,21.08265,20.5325,0.918
2.0,48.0,0.065,27.9106,20.5325,1.4196,1.5192,3.6427,585,16356.92,3.937,2.0,48.0,0.065,1.3593376354559845,2.0,48.0,0.065,14.2547,9.2549,0.918,1.3589,1.8575,201,2199.88,1.492,1.5402327415747334,21.08265,20.5325,0.918
1.75,80.0,0.04,26.2131,19.1654,1.4266,1.526,3.7377,585,15006.37,3.937,1.75,80.0,0.04,1.3677303891387604,1.75,80.0,0.04,15.8732,8.3273,1.0611,1.4354,2.2072,201,2458.64,1.492,1.906164062781454,21.04315,19.1654,1.0611
1.75,64.0,0.04,26.2131,19.1654,1.4266,1.526,3.7377,585,15006.37,3.937,1.75,64.0,0.04,1.3677303891387604,1.75,64.0,0.04,15.8732,8.3273,1.0611,1.4354,2.2072,201,2458.64,1.492,1.906164062781454,21.04315,19.1654,1.0611
