,BASELINE_or_seul,GOLD_JPY_w0.100,GOLD_JPY_w0.125,GOLD_JPY_w0.150,GOLD_JPY_w0.175,GOLD_JPY_w0.200,GOLD_JPY_XAG_w0.100,GOLD_JPY_XAG_w0.125,GOLD_JPY_XAG_w0.150,GOLD_JPY_XAG_w0.175,GOLD_JPY_XAG_w0.200
2025-04-08,-0.004033472397252234,-0.004455777179661926,-0.004536808193625518,-0.0045923407688922835,-0.0046204016820033745,-0.004620464070275356,-0.004352216902922797,-0.004384780641703846,-0.004384821823207053,-0.004353109979073516,-0.004292381191504826
2025-04-09,0.04371951634417482,0.026534816520127843,0.03247005279058187,0.03832007993847045,0.04397416285303195,0.049330109954007266,0.01884311429906184,0.0225628633390775,0.026112768833555237,0.02941945863097272,0.03242813882815756
2025-04-10,0.0035223720458223973,-0.013964634988363171,-0.009561459435261663,-0.005056147307312957,-0.0005383735288201501,0.0039026977114397583,-0.01970025695759671,-0.01677369837012637,-0.01373295353336424,-0.010650755637775303,-0.007598292302687642
2025-04-11,0.01749948209328555,0.008924335319910218,0.011715268854257178,0.014457402795300852,0.017091562015870667,0.019565666956490924,0.00527504166072948,0.007060507513235528,0.008790911400307902,0.010428721309883081,0.011944112526698067
2025-04-14,-0.005455678521717083,-0.0017525467344966551,-0.002893761372454151,-0.004027417015354214,-0.0051287814503781885,-0.006175381376333556,-0.00026322445140832744,-0.000999139323209594,-0.001726948443803524,-0.002430333497903375,-0.0030953191019726795
2025-04-15,0.006683853502987598,0.004101221023949847,0.004970764468722569,0.005804708540804533,0.006584944169372383,0.007297511567953993,0.002937447963876603,0.003491916693877726,0.004013004197548857,0.00448998901621932,0.004915874554664869
2025-04-16,0.031697486941097815,0.016432437126687835,0.02136761236981168,0.02615473672318368,0.030688676535486247,0.03488448191974711,0.009869219427980386,0.013037285228625128,0.01607071290717332,0.018903992070888526,0.021489741671878324
2025-04-17,-0.0048315820511149335,-0.0032449579074883567,-0.003827965932348783,-0.004378908198591659,-0.004885669344232128,-0.005339765901818794,-0.0024584767725471827,-0.00283282751787661,-0.00317959990007978,-0.0034917824837776587,-0.0037652797435545056
2025-04-18,-0.0028214817106335336,-0.0033282981960596524,-0.003329237023354281,-0.003292823768139778,-0.0032242396815892697,-0.003130753563045376,-0.003216346293195328,-0.0031865355379313977,-0.003123079120116327,-0.0030327884832427343,-0.002923531685889101
2025-04-21,0.029286182260058254,0.016124579363201937,0.020660385112526235,0.024862059898839408,0.028625522713653574,0.03189766367297111,0.009657350002736086,0.012508429944636596,0.015113583971525651,0.017421084118820665,0.01941231306450103
2025-04-22,0.006321252579031644,0.015152252154454328,0.013142915051182322,0.011035216850215203,0.008909649794691945,0.006837583209417306,0.017276595275048785,0.015802781484493423,0.01421204453095097,0.012573250576990104,0.010947726947812136
2025-04-23,-0.02410226283591004,-0.011824851933140838,-0.01598778873693682,-0.019867324812923255,-0.023360601877477374,-0.026412705644830694,-0.006222462018079792,-0.008934248240148927,-0.011448376480971398,-0.013707798577713275,-0.015637120481572984
2025-04-24,0.021183429231599417,0.013427029817270123,0.016302942660233376,0.01890183838418776,0.02116486245278058,0.023072201653016475,0.009019773400816155,0.010793337509777767,0.01237898721282691,0.01374947240742846,0.014900161448721343
2025-04-25,-0.01317080139880383,-0.010216554134387384,-0.01159714268856719,-0.012812700288139453,-0.013837498147623565,-0.014666332973992616,-0.010426298656539785,-0.01180032195650137,-0.012995038120245864,-0.013994073586638258,-0.014528733574774303
2025-04-28,0.005744521384901944,0.002044122083133414,0.0032412552332748462,0.004376286733725512,0.0054172671859394105,0.0063444856565574295,0.00041229668004355547,0.001184036834802548,0.0019155915754633262,0.002588296585367254,0.0031913114238567492
2025-04-29,-0.005942555070955212,-0.002102888533610398,-0.0033770439161578255,-0.0045840753021971666,-0.005690596272032863,-0.006676252856979883,0.0010007710718995843,0.0004958080172915996,4.024879038268427e-06,-0.00046026530604720186,-0.0008873336607982367
2025-04-30,-0.0035250970375471664,0.0013163305383925262,-0.00011766319573250368,-0.0015071345622382562,-0.0028107335292175788,-0.0040005904071695785,-0.00048569992226388557,-0.0022716946033896,-0.003956547441383685,-0.005502667412482718,-0.006889764582178773
2025-05-01,-0.01780471862883329,-0.011807646991727375,-0.014316975827180943,-0.016572045838162734,-0.01852418126363313,-0.02013490979087566,-0.009678509951396694,-0.01159093782536379,-0.013288857785505068,-0.014751047476784938,-0.01597228570720734
2025-05-02,0.002125668205643218,0.002113130522635737,0.0022113327239625825,0.0022792871244055896,0.0023184902817583422,0.002294778048462985,0.0028070111223519635,0.003059220619418597,0.003266751372470613,0.003430009497764066,0.0035444993654964218
2025-05-05,0.03490700815688737,0.023253849213602355,0.028087754080069548,0.03241780668507156,0.036152637766412046,0.03927010299554886,0.015795829200815695,0.018747675827615634,0.02136288659162056,0.023608708860711595,0.02548786052139866
2025-05-06,0.028514297595169057,0.016764756044888845,0.02129749657220956,0.02538796478401792,0.028947012216082972,0.03195053890745926,0.009978060106073567,0.012827653922417184,0.015399538838708279,0.017653219818771018,0.019581587900784556
2025-05-07,-0.01761126997988119,-0.010262533269678383,-0.013149543435420078,-0.015754882624981432,-0.018020293593138545,-0.019930094481694013,-0.007749792306820529,-0.009977385504381812,-0.011988146964356851,-0.0137495217118504,-0.01525549847887965
2025-05-08,-0.008196114499324393,0.000827926202025592,-0.002003902718477678,-0.0046811765562433365,-0.007123244811733778,-0.009287726110137793,0.003520234510855376,0.0013978361317245446,-0.0006289716579703578,-0.002506095436458775,-0.004202892931235095
2025-05-09,0.007841375773564767,0.0058936400210624915,0.006817024602924664,0.00761051541536177,0.008263241621508174,0.008779995565843258,0.006251796569796392,0.007235405239810714,0.008087634089589587,0.008801352678861266,0.009382302763927814
2025-05-12,-0.0056528758817760765,-0.007110922962693164,-0.007053803896828357,-0.0069072333559313005,-0.00669127894829434,-0.006428770598827381,-0.007459040426261918,-0.007499777510304747,-0.007454834154719646,-0.007340784410644345,-0.007176447041045127
2025-05-13,0.0030614490539323906,0.004090842946467997,0.0039668852303065315,0.003793326718067655,0.003589109183149018,0.003371402953555915,0.003991736611494081,0.003861595716947883,0.0036911034175626783,0.0034965829997862887,0.0032922423918544915
2025-05-14,-0.0003878507856285698,-0.0005777594266223811,-0.0005575335226824233,-0.0005313324195725148,-0.0005025410896594114,-0.00047354896660545357,-0.0009360886053094021,-0.0009834112038325745,-0.0010122196771485212,-0.0010270158749243747,-0.0010319819699559675
2025-05-15,0.0016740961230624857,0.002244909140036449,0.0021221626558058106,0.00198089499588352,0.0018346382086819955,0.001692532843376543,0.005294374467805455,0.005739225031509645,0.006056716530368606,0.006271334602947701,0.006408522107721291
2025-05-16,-7.98869758079103e-05,-0.00015326012624465268,-0.00015605029221777016,-0.00015617971202109673,-0.00015447711859904173,-0.00015166420218469797,-0.00013420816877188059,-0.00013374867500362913,-0.00013154431214192126,-0.0001282702144323516,-0.00012445534286338142
2025-05-19,0.003939347404725893,0.005325843195634528,0.005054288035771534,0.00473562655789844,0.004401788825109854,0.0040748376994628925,0.005176565392134552,0.0048994580130042546,0.004587576481467589,0.0042678701119273806,0.003958191005744544
2025-05-20,-0.011750648964188062,-0.006708395668908318,-0.008615479029885437,-0.010188635567191451,-0.011445825874648386,-0.012432000680995176,-0.003465150942673903,-0.004724372814714364,-0.005780512516577903,-0.00664372890011528,-0.007339238797183633
2025-05-21,0.010302521994179935,0.006993392471661891,0.008307927957245213,0.00935443135777013,0.010159423054306928,0.010765469017030177,0.01043130646043345,0.012359673932528533,0.01390825781822723,0.015117879691946761,0.016047424635763332
2025-05-22,-0.00853119872927284,-0.0060057867905379736,-0.007083745557184552,-0.007918647140247597,-0.008543550448474064,-0.009001997877172792,-0.010174767229519308,-0.011973259918210041,-0.013379133893097316,-0.014448007747194444,-0.01524851810671913
2025-05-23,0.025945806287877043,0.018550628229962975,0.021654680294661336,0.0240380917583034,0.025805043797351525,0.02708748232521484,0.018405897396086477,0.021432979173959945,0.023778063971635496,0.02554425398966664,0.026853808253178537
2025-05-26,-0.00538267845637054,-0.0038023313903838775,-0.004486492585700361,-0.005016828248431477,-0.005414002553927461,-0.005705478898587139,-0.0024626564308346125,-0.0028983458588947952,-0.0032389278865217978,-0.00349782814764337,-0.003691666858675839
2025-05-27,-0.016607276098214774,-0.011650311229328402,-0.013739369761275638,-0.015357066317143965,-0.016567799800742463,-0.017456090065698027,-0.012067288249196421,-0.014200956329298471,-0.01586727894141856,-0.017132511600168192,-0.01807858872239925
2025-05-28,-0.008330897679485456,-0.007742229208415426,-0.008263845463527073,-0.008572526856030122,-0.008723450862836034,-0.00876852940651126,-0.008569302601018737,-0.009239774416491256,-0.009677368268149415,-0.009938161591629368,-0.010075175639441237
2025-05-29,0.016588167994987364,0.013839124550618984,0.015238074479674924,0.01618999486921204,0.016791150163252225,0.017141182802988094,0.015027416979327463,0.016631926944393867,0.01776718189800425,0.018530319255716205,0.019020672032498156
2025-05-30,-0.0121603907233854,-0.009011370531672133,-0.010397898812624824,-0.01141989492478238,-0.012148665335163667,-0.0126589219092038,-0.012339014210499592,-0.01426693609396858,-0.015727412247430128,-0.016808637619568953,-0.017600886808810987
2025-06-02,0.041453457073996454,0.03071617281326701,0.03533810467863372,0.03873531482820104,0.04115060640850714,0.042836027495538984,0.04834427328054467,0.0558291022810128,0.06149122430326565,0.0656788740085377,0.06874528571126531
2025-06-03,-0.011837696896052347,-0.009130142342748308,-0.010371385044500627,-0.011262838902775898,-0.01188149799515683,-0.012302142580088025,-0.006940793707012143,-0.007780879955232577,-0.008383156593993416,-0.008805680153703851,-0.00909918412355985
2025-06-04,0.009739299502363767,0.008261108980034152,0.00900095084159637,0.009478959756912169,0.009773030550123808,0.009945173618346044,0.006081442665924378,0.006484166389138341,0.006730355564877358,0.006871851087008014,0.006946417932258225
2025-06-05,-0.009585241753689508,-0.008378968587308694,-0.009043219218825742,-0.009437748061654126,-0.009667519474157709,-0.009798701255667923,0.014391141267567475,0.016085330383655498,0.017237706431198124,0.018033092311501304,0.018593932455068518
2025-06-06,-0.018788960881317988,-0.01624549991841718,-0.017584528514773202,-0.018388904158995342,-0.018864262679155464,-0.019141287532177406,-0.005206367496470849,-0.00539091068163361,-0.0054772349918463525,-0.00550892476783296,-0.005511002174215019
2025-06-09,0.006062440021968271,0.004807942794691818,0.005341905256906451,0.005666905584857432,0.0058703842321417305,0.006002191140374646,0.014210918520588763,0.01543786301537587,0.01619292622097577,0.016672351460268544,0.016987134029598713
2025-06-10,-0.002641989882419219,-0.003452901815553943,-0.0032412827236002082,-0.0030432140776436674,-0.0028720256382678533,-0.002727792375758117,-0.005217948406618616,-0.005187530611665034,-0.005112543088878827,-0.0050259185436792725,-0.0049409782925327475
2025-06-11,0.02108427548660334,0.023068514725995873,0.022746835766355594,0.02219829437173681,0.0216155375570504,0.02106971898896674,0.010180005366347352,0.009156591751128778,0.008296420609641584,0.007591096427636,0.007013885168795607
2025-06-12,0.014587365165268904,0.013138329756122806,0.013914423436427884,0.014299196987700265,0.014480242227759841,0.014555339791977285,0.008981398544248669,0.00950938018772545,0.009802624226195732,0.00996663887746151,0.010058335594112951
2025-06-13,0.02145788844585851,0.018685515976090267,0.020068124760847673,0.020819336806166173,0.02122796671571564,0.021449231641693635,0.012410490580388041,0.013390160354011799,0.013979583311772851,0.01434424739601331,0.014576731142463393
2025-06-16,-0.020591580772458817,-0.017735484244716986,-0.019183974413098156,-0.01999883798791699,-0.020463332781597555,-0.020732000897430335,-0.008817135730134292,-0.009656155272353152,-0.010181461618453383,-0.010520886813889605,-0.010747839464576619
