entry_n,exit_n,symbol,source,n_bars,first_date,last_date,sharpe_net,cagr_net,maxdd,trades_total,trades_per_year,exposure_median,years_in_window,status
55,13,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.49476007364071756,0.09545249707275527,-0.3232906611675287,13,3.3225152129817443,0.0,3.9126984126984126,OK
100,50,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.9675538436119038,0.24107789627015408,-0.30631446402805296,2,0.5111561866125761,4.086578061259729,3.9126984126984126,OK
100,25,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.7376150688110015,0.16960424352414671,-0.2803224442294322,6,1.5334685598377282,0.0,3.9126984126984126,OK
252,126,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.525912222175015,0.11339287486667526,-0.3866111384622851,1,0.25557809330628806,0.0,3.9126984126984126,OK
252,63,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.47577269977791303,0.08770385387357305,-0.3625535897300789,2,0.5111561866125761,0.0,3.9126984126984126,OK
55,27,US30,yahoo,8561,1992-01-02,2025-12-31,0.21464776274900146,0.01704367480818303,-0.9067456840864346,84,2.472608340147179,2.053236987409465,33.97222222222222,OK
55,13,US30,yahoo,8561,1992-01-02,2025-12-31,0.187602729301113,0.012774259840518942,-0.7685745596569018,131,3.856091578086672,0.0,33.97222222222222,OK
100,50,US30,yahoo,8561,1992-01-02,2025-12-31,0.22440304871142566,0.014327939328249162,-0.8502415855907517,46,1.3540474243663123,2.407688965373409,33.97222222222222,OK
100,25,US30,yahoo,8561,1992-01-02,2025-12-31,0.18441933380565545,0.009137243334704559,-0.8947314918675947,74,2.178250204415372,0.0,33.97222222222222,OK
252,126,US30,yahoo,8561,1992-01-02,2025-12-31,0.36196751369530583,0.06526917892571249,-0.9505478742046705,15,0.44153720359771054,2.245962435770384,33.97222222222222,OK
252,63,US30,yahoo,8561,1992-01-02,2025-12-31,0.22601282450317733,0.014575125088652996,-0.8933233771396666,33,0.9713818479149632,0.0,33.97222222222222,OK
55,27,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.5831983080524494,0.16718160644334867,-0.49121043628854477,7,1.827979274611399,0.0,3.8293650793650795,OK
55,13,XNG-USD,mt5,965,2022-11-03,2025-12-31,-0.11694471581924848,-0.09443032976393007,-0.4901234061730716,15,3.9170984455958546,0.0,3.8293650793650795,OK
100,50,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.22479179621373538,0.007244727908679582,-0.5037156949732158,3,0.7834196891191709,0.0,3.8293650793650795,OK
100,25,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.3195038663091561,0.05150965693466625,-0.3727364679146765,5,1.305699481865285,0.0,3.8293650793650795,OK
252,126,XNG-USD,mt5,965,2022-11-03,2025-12-31,-0.08254575247284607,-0.09586926800977491,-0.6006613486198795,1,0.26113989637305696,0.0,3.8293650793650795,OK
252,63,XNG-USD,mt5,965,2022-11-03,2025-12-31,-0.010973446849522195,-0.07074471423854334,-0.5564675737893897,1,0.26113989637305696,0.0,3.8293650793650795,OK
55,27,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.060616359317149045,-0.03586996192573322,-0.753233610822627,59,2.335899450117832,0.0,25.25793650793651,OK
55,13,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.08842779224177973,-0.016846569588756632,-0.683080265191973,81,3.206912804399057,0.0,25.25793650793651,OK
100,50,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.04136374076455142,-0.051546466803151225,-0.9220287758831285,30,1.187745483110762,0.0,25.25793650793651,OK
100,25,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,-0.1365596464715772,-0.0872767304877139,-0.9381483344437519,50,1.979575805184603,0.0,25.25793650793651,OK
252,126,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.2988629174994889,-0.003007260294225489,-0.9578720176025485,9,0.35632364493322854,0.0,25.25793650793651,OK
252,63,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.14193996790523905,-0.013173007012157067,-0.75819725953721,16,0.633464257659073,0.0,25.25793650793651,OK
55,27,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.10994906925834722,-0.04025867299616692,-0.9228706248393445,56,2.218867924528302,0.0,25.238095238095237,OK
55,13,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.18804566455320834,0.002576856888831136,-0.8585317650476801,79,3.130188679245283,0.0,25.238095238095237,OK
100,50,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.17117916714324516,-0.017429920126047715,-0.9606850187810023,29,1.149056603773585,0.0,25.238095238095237,OK
100,25,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.25500184387096997,0.025702900017565256,-0.873910300647436,37,1.4660377358490566,0.0,25.238095238095237,OK
252,126,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.5048603786398325,0.13224476054000567,-0.6562694925221567,9,0.3566037735849057,0.0,25.238095238095237,OK
252,63,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.3357379565256106,0.05607048848710616,-0.8730908719074313,14,0.5547169811320755,0.0,25.238095238095237,OK
55,27,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,-0.019320488465532824,-0.05011740210440219,-0.6990191413238526,17,2.6858934169279,3.832076336125996,6.329365079365079,OK
55,13,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.3489420000925948,0.05824419637471312,-0.5122332793369784,22,3.4758620689655175,0.0,6.329365079365079,OK
100,50,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.26667829951285005,0.03479013186385482,-0.43772260426757026,7,1.1059561128526647,2.613805464842457,6.329365079365079,OK
100,25,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.17990037994337757,0.012252026684833606,-0.4375771935197391,13,2.053918495297806,0.0,6.329365079365079,OK
252,126,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.23439390093414078,0.022400041587205877,-0.52098002178585,3,0.47398119122257054,2.463674281460106,6.329365079365079,OK
252,63,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.2433749821098517,0.027140041928403136,-0.48860168361444367,5,0.7899686520376176,2.5835768444254508,6.329365079365079,OK
55,27,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,0.31924566735376153,0.05184865968117114,-0.5947348858610573,34,1.8687022900763361,0.0,18.194444444444443,OK
55,13,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,0.41565327552104936,0.07981643844579289,-0.48974680067570653,48,2.6381679389312978,0.0,18.194444444444443,OK
100,50,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,-0.06550668681221708,-0.08669430974109715,-0.9438272834300991,23,1.2641221374045803,0.0,18.194444444444443,OK
100,25,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,0.05871809065425131,-0.030133795167938793,-0.8053814239116339,28,1.5389312977099239,0.0,18.194444444444443,OK
252,126,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,0.34191370549574496,0.05918699063228017,-0.5245288728331007,5,0.2748091603053435,0.0,18.194444444444443,OK
252,63,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,0.056220142723904326,-0.025305266804390936,-0.5903292226279031,10,0.549618320610687,0.0,18.194444444444443,OK
55,27,UK100,yahoo,9093,1990-01-02,2025-12-31,-0.003687548613987805,-0.04734293983500659,-0.9827283827267865,87,2.41108545034642,0.0,36.083333333333336,OK
55,13,UK100,yahoo,9093,1990-01-02,2025-12-31,0.008355729032344704,-0.03283518608456337,-0.948398988031138,129,3.575057736720554,0.0,36.083333333333336,OK
100,50,UK100,yahoo,9093,1990-01-02,2025-12-31,0.10213834678912062,-0.021864967608860364,-0.9601665073369583,44,1.2193995381062355,0.0,36.083333333333336,OK
100,25,UK100,yahoo,9093,1990-01-02,2025-12-31,0.04780193854621549,-0.02823829340952222,-0.9593886139168573,73,2.023094688221709,0.0,36.083333333333336,OK
252,126,UK100,yahoo,9093,1990-01-02,2025-12-31,0.21595319151098827,0.0007393028855959827,-0.9281042943666759,18,0.4988452655889145,2.8708312019472504,36.083333333333336,OK
252,63,UK100,yahoo,9093,1990-01-02,2025-12-31,0.08113596081096369,-0.032538203419131384,-0.9686088632893117,32,0.8868360277136258,0.0,36.083333333333336,OK
55,27,AGG,14 instruments,70622,1990-01-02,2025-12-31,0.3505540009137314,0.07985142923405804,-0.6772979911294984,658,31.00595931809743,0.0,20.017573696145124,AGG
55,13,AGG,14 instruments,70622,1990-01-02,2025-12-31,0.2784278731878516,0.04477478907144838,-0.63444057689167,1016,49.23499052650097,0.0,20.017573696145124,AGG
100,50,AGG,14 instruments,70622,1990-01-02,2025-12-31,0.3947220023593378,0.07985930876456863,-0.7038720972182959,333,14.859958314160455,0.0,20.017573696145124,AGG
100,25,AGG,14 instruments,70622,1990-01-02,2025-12-31,0.34399277027192854,0.07119107933906835,-0.6681439945379862,553,25.624597470893246,0.0,20.017573696145124,AGG
252,126,AGG,14 instruments,70622,1990-01-02,2025-12-31,0.43701546040072203,0.10080185872338829,-0.6822828400758963,113,5.112188850324557,0.8484860729059545,20.017573696145124,AGG
252,63,AGG,14 instruments,70622,1990-01-02,2025-12-31,0.3594293156338649,0.06905896365849516,-0.6623721632096563,217,8.999382861577233,0.0,20.017573696145124,AGG
